Entropy extraction table for possibly-biased dice rolls.

* Start in state S00
* Roll 1 die 4 times (the same die every time), but treat 4 as 3.
* Find the row with those 4 rolls on the left in the column with your current state
* Go to the new state listed there, and output the bits listed after the comma (if any)
* Repeat

Produces 2.722 bits of entropy per 4 rolls if the die is unbiased.

      S00:       S01:       S02:       S03:       S04:       S05:       S06:       S07:       S08:       S09:       S10:       S11:       S12:       S13:       S14:
5530: S04,10     S03,10     S03,101    S01,0110   S00,0110   S01,110    S00,01101  S01,01101  S00,110    S00,1101   S01,1101   S00,01101  S00,011011 S00,1101   S00,11011 
0050: S08,10     S05,10     S05,110    S01,010    S00,010    S01,10     S00,1010   S01,1010   S00,10     S00,110    S01,110    S00,1010   S00,11010  S00,110    S00,1110  
1050: S08,110    S05,010    S05,10     S01,1010   S00,0010   S01,110    S00,010    S01,11010  S00,010    S00,10     S01,1110   S00,10010  S00,1010   S00,1010   S00,110   
2050: S05,110    S08,110    S08,1110   S00,0010   S01,0010   S00,010    S01,01010  S00,010    S01,010    S01,0110   S00,10     S01,010    S01,1010   S01,10     S01,110   
3050: S00,101    S01,101    S01,1101   S05,11     S08,11     S05,111    S08,111    S05,111    S08,111    S08,1111   S05,1111   S08,111    S08,1111   S08,1111   S08,11111 
5050: S00,11     S01,11     S01,111    S05,011    S08,011    S05,11     S08,0111   S05,0111   S08,11     S08,111    S05,111    S08,0111   S08,01111  S08,111    S08,1111  
0150: S08,010    S05,101    S05,1101   S01,0010   S00,0101   S01,010    S00,10101  S01,10010  S00,101    S00,1101   S01,1010   S00,10101  S00,110101 S00,1101   S00,11101 
1150: S08,10     S05,0101   S05,101    S01,010    S00,00101  S01,10     S00,0101   S01,1010   S00,0101   S00,101    S01,110    S00,100101 S00,10101  S00,10101  S00,1101  
2150: S05,1101   S08,1010   S08,110    S00,00101  S01,00010  S00,0101   S01,0010   S00,0101   S01,0010   S01,010    S00,101    S01,0010   S01,010    S01,010    S01,10    
3150: S00,1011   S01,1001   S01,101    S05,111    S08,101    S05,1111   S08,11     S05,1111   S08,1101   S08,111    S05,11111  S08,1101   S08,111    S08,11101  S08,1111  
5150: S00,111    S01,101    S01,11     S05,0111   S08,0101   S05,111    S08,011    S05,01111  S08,101    S08,11     S05,1111   S08,01101  S08,0111   S08,1101   S08,111   
0250: S05,010    S08,010    S08,1010   S00,0101   S01,0101   S00,101    S01,10101  S00,10101  S01,101    S01,1101   S00,1101   S01,10101  S01,110101 S01,1101   S01,11101 
1250: S05,0101   S08,0010   S08,010    S00,01011  S01,00101  S00,1011   S01,0101   S00,101011 S01,0101   S01,101    S00,11011  S01,100101 S01,10101  S01,10101  S01,1101  
2250: S08,10     S05,10     S05,101    S01,00101  S00,00101  S01,0101   S00,001011 S01,0101   S00,0101   S00,01011  S01,101    S00,0101   S00,01011  S00,101    S00,1011  
3250: S01,1011   S00,1011   S00,10111  S08,101    S05,101    S08,1101   S05,1011   S08,11     S05,1101   S05,11011  S08,111    S05,11     S05,111    S05,111    S05,1111  
5250: S01,111    S00,111    S00,1111   S08,0101   S05,0101   S08,101    S05,01011  S08,011    S05,101    S05,1011   S08,11     S05,011    S05,0111   S05,11     S05,111   
0350: S00,001    S01,001    S01,1001   S05,01     S08,01     S05,011    S08,101    S05,101    S08,011    S08,1011   S05,1011   S08,101    S08,1101   S08,1011   S08,11011 
1350: S00,0011   S01,0001   S01,001    S05,011    S08,001    S05,0111   S08,01     S05,1011   S08,0011   S08,011    S05,10111  S08,1001   S08,101    S08,10011  S08,1011  
2350: S01,0011   S00,0011   S00,00111  S08,001    S05,001    S08,0011   S05,0011   S08,01     S05,0011   S05,00111  S08,011    S05,01     S05,011    S05,011    S05,0111  
3350: S08,10     S05,10     S05,101    S01,010    S00,010    S01,1010   S00,0101   S01,0101   S00,1010   S00,10101  S01,10101  S00,0101   S00,01011  S00,10101  S00,101011
5350: S08,110    S05,110    S05,1101   S01,0010   S00,0010   S01,010    S00,00101  S01,00101  S00,010    S00,0101   S01,0101   S00,00101  S00,001011 S00,0101   S00,01011 
0550: S00,01     S01,01     S01,101    S05,001    S08,001    S05,01     S08,1001   S05,1001   S08,01     S08,101    S05,101    S08,1001   S08,11001  S08,101    S08,1101  
1550: S00,011    S01,001    S01,01     S05,0011   S08,0001   S05,011    S08,001    S05,10011  S08,001    S08,01     S05,1011   S08,10001  S08,1001   S08,1001   S08,101   
2550: S01,011    S00,011    S00,0111   S08,0001   S05,0001   S08,001    S05,00011  S08,001    S05,001    S05,0011   S08,01     S05,001    S05,0011   S05,01     S05,011   
